kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel
scheme_a,double,local,local,10000,10000,32,1,1,1,1,1.558000000e-06,1.307574246e+00,5.279460000e-04,1.308103750e+00,1.308103750e+00,-1.000000000e+00,-1.000000000e+00,4.892578,4.894560,-1.000000
scheme_a,double,local,local,10000,10000,32,1,1,1,2,7.140000005e-07,1.306808016e+00,5.348350000e-04,1.307343565e+00,1.307343565e+00,-1.000000000e+00,-1.000000000e+00,4.895423,4.897429,-1.000000
scheme_a,double,local,local,10000,10000,32,1,1,1,3,1.442000000e-06,1.318555964e+00,1.359912000e-03,1.319917318e+00,1.319917318e+00,-1.000000000e+00,-1.000000000e+00,4.848789,4.853795,-1.000000
scheme_a,double,local,local,10000,10000,32,1,1,1,4,3.960000008e-07,1.306099725e+00,5.207780000e-04,1.306620899e+00,1.306620899e+00,-1.000000000e+00,-1.000000000e+00,4.898131,4.900085,-1.000000
scheme_a,double,local,local,10000,10000,32,1,1,1,5,4.819999990e-07,1.306490967e+00,5.167620000e-04,1.307008211e+00,1.307008211e+00,-1.000000000e+00,-1.000000000e+00,4.896679,4.898618,-1.000000
scheme_a,double,local,local,10000,10000,32,1,1,1,6,1.489000001e-06,1.317964338e+00,1.412259000e-03,1.319378086e+00,1.319378086e+00,-1.000000000e+00,-1.000000000e+00,4.850770,4.855974,-1.000000
scheme_a,double,local,local,10000,10000,32,1,1,1,7,4.229999995e-07,1.308002805e+00,5.247730000e-04,1.308528001e+00,1.308528001e+00,-1.000000000e+00,-1.000000000e+00,4.890992,4.892956,-1.000000
scheme_a,double,local,local,10000,10000,32,1,1,1,8,7.929999999e-07,1.303969434e+00,5.173890000e-04,1.304487616e+00,1.304487616e+00,-1.000000000e+00,-1.000000000e+00,4.906141,4.908091,-1.000000
scheme_a,double,local,local,10000,10000,32,1,1,1,9,4.050000015e-07,1.310255792e+00,5.224200000e-04,1.310778617e+00,1.310778617e+00,-1.000000000e+00,-1.000000000e+00,4.882594,4.884542,-1.000000
scheme_a,double,local,local,10000,10000,32,1,1,1,10,4.610000026e-07,1.310350253e+00,5.122260000e-04,1.310862940e+00,1.310862940e+00,-1.000000000e+00,-1.000000000e+00,4.882280,4.884190,-1.000000
scheme_a,double,local,local,10000,10000,32,1,1,1,11,3.989999975e-07,1.306691723e+00,5.104890000e-04,1.307202611e+00,1.307202611e+00,-1.000000000e+00,-1.000000000e+00,4.895951,4.897865,-1.000000
scheme_a,double,local,local,10000,10000,32,1,1,1,12,3.880000001e-07,1.312245263e+00,5.275040000e-04,1.312773155e+00,1.312773155e+00,-1.000000000e+00,-1.000000000e+00,4.875176,4.877137,-1.000000
scheme_a,double,local,local,10000,10000,32,1,1,1,13,3.209999981e-07,1.306518332e+00,5.255740000e-04,1.307044227e+00,1.307044227e+00,-1.000000000e+00,-1.000000000e+00,4.896544,4.898515,-1.000000
scheme_a,double,local,local,10000,10000,32,1,1,1,14,5.069999993e-07,1.300598596e+00,5.186750000e-04,1.301117778e+00,1.301117778e+00,-1.000000000e+00,-1.000000000e+00,4.918848,4.920811,-1.000000
scheme_a,double,local,local,10000,10000,32,1,1,1,15,3.180000014e-07,1.306746295e+00,5.139410000e-04,1.307260554e+00,1.307260554e+00,-1.000000000e+00,-1.000000000e+00,4.895734,4.897661,-1.000000
scheme_a,double,local,local,10000,10000,32,1,1,1,16,3.910000004e-07,1.301210530e+00,5.156080000e-04,1.301726529e+00,1.301726529e+00,-1.000000000e+00,-1.000000000e+00,4.916547,4.918497,-1.000000
scheme_a,double,local,local,10000,10000,32,1,1,1,17,5.049999992e-07,1.300567146e+00,5.161370000e-04,1.301083788e+00,1.301083788e+00,-1.000000000e+00,-1.000000000e+00,4.918976,4.920930,-1.000000
scheme_a,double,local,local,10000,10000,32,1,1,1,18,3.199999981e-07,1.304320963e+00,5.076370000e-04,1.304828920e+00,1.304828920e+00,-1.000000000e+00,-1.000000000e+00,4.904858,4.906768,-1.000000
scheme_a,double,local,local,10000,10000,32,1,1,1,19,3.300000024e-07,1.300167615e+00,5.278010000e-04,1.300695746e+00,1.300695746e+00,-1.000000000e+00,-1.000000000e+00,4.920444,4.922442,-1.000000
scheme_a,double,local,local,10000,10000,32,1,1,1,20,7.549999985e-07,1.297945936e+00,5.219710000e-04,1.298468662e+00,1.298468662e+00,-1.000000000e+00,-1.000000000e+00,4.928883,4.930868,-1.000000
scheme_a,double,local,local,10000,10000,40,1,1,1,1,1.952000000e-06,1.765631725e+00,6.743810000e-04,1.766308058e+00,1.766308058e+00,-1.000000000e+00,-1.000000000e+00,4.529221,4.530956,-1.000000
scheme_a,double,local,local,10000,10000,40,1,1,1,2,3.470000003e-07,1.763308551e+00,9.507830000e-04,1.764259681e+00,1.764259681e+00,-1.000000000e+00,-1.000000000e+00,4.534480,4.536926,-1.000000
scheme_a,double,local,local,10000,10000,40,1,1,1,3,1.930000000e-06,1.749214765e+00,6.715170000e-04,1.749888212e+00,1.749888212e+00,-1.000000000e+00,-1.000000000e+00,4.571721,4.573481,-1.000000
scheme_a,double,local,local,10000,10000,40,1,1,1,4,2.749999997e-07,1.750995572e+00,6.551860000e-04,1.751651033e+00,1.751651033e+00,-1.000000000e+00,-1.000000000e+00,4.567120,4.568829,-1.000000
scheme_a,double,local,local,10000,10000,40,1,1,1,5,5.969999997e-07,1.746801928e+00,6.581010000e-04,1.747460626e+00,1.747460626e+00,-1.000000000e+00,-1.000000000e+00,4.578072,4.579798,-1.000000
scheme_a,double,local,local,10000,10000,40,1,1,1,6,4.039999979e-07,1.753152896e+00,6.494030000e-04,1.753802703e+00,1.753802703e+00,-1.000000000e+00,-1.000000000e+00,4.561517,4.563207,-1.000000
scheme_a,double,local,local,10000,10000,40,1,1,1,7,3.080000006e-07,1.747047138e+00,6.453270000e-04,1.747692773e+00,1.747692773e+00,-1.000000000e+00,-1.000000000e+00,4.577464,4.579155,-1.000000
scheme_a,double,local,local,10000,10000,40,1,1,1,8,3.379999995e-07,1.759335766e+00,6.557920000e-04,1.759991896e+00,1.759991896e+00,-1.000000000e+00,-1.000000000e+00,4.545475,4.547171,-1.000000
scheme_a,double,local,local,10000,10000,40,1,1,1,9,3.739999990e-07,1.770600444e+00,6.642360000e-04,1.771265054e+00,1.771265054e+00,-1.000000000e+00,-1.000000000e+00,4.516546,4.518241,-1.000000
scheme_a,double,local,local,10000,10000,40,1,1,1,10,3.829999997e-07,1.762269274e+00,6.729560000e-04,1.762942613e+00,1.762942613e+00,-1.000000000e+00,-1.000000000e+00,4.537868,4.539601,-1.000000
scheme_a,double,local,local,10000,10000,40,1,1,1,11,6.249999984e-07,1.767721590e+00,6.625810000e-04,1.768384796e+00,1.768384796e+00,-1.000000000e+00,-1.000000000e+00,4.523902,4.525600,-1.000000
scheme_a,double,local,local,10000,10000,40,1,1,1,12,3.339999992e-07,1.762716036e+00,6.573290000e-04,1.763373699e+00,1.763373699e+00,-1.000000000e+00,-1.000000000e+00,4.536758,4.538451,-1.000000
scheme_a,double,local,local,10000,10000,40,1,1,1,13,4.669999996e-07,1.768760789e+00,6.797370000e-04,1.769440993e+00,1.769440993e+00,-1.000000000e+00,-1.000000000e+00,4.521202,4.522941,-1.000000
scheme_a,double,local,local,10000,10000,40,1,1,1,14,4.120000021e-07,1.763287639e+00,6.531210000e-04,1.763941172e+00,1.763941172e+00,-1.000000000e+00,-1.000000000e+00,4.535299,4.536980,-1.000000
scheme_a,double,local,local,10000,10000,40,1,1,1,15,3.189999944e-07,1.764851892e+00,6.494340000e-04,1.765501645e+00,1.765501645e+00,-1.000000000e+00,-1.000000000e+00,4.531290,4.532958,-1.000000
